Ward ID,Ward/Office,Council Member,Journal Date,Vendor,Expense Type,Description,Account,Amount
0,Mayor's Office,Sam Katz,01/01/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,Cof-Gl-I-109-Ixr-Xerox,"Printing, Binding, Photocopying",429.59
0,Mayor's Office,Sam Katz,01/01/2014,City of Winnipeg - Journal Entry,Mayor's Expenses,"January 2014  Facility Charges For City Clerks, Council And Mayor'S Office",Tsf to Civic Accommodations,6202.33
1,Old Kildonan,Devi Sharma,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",9.58
2,Mynarski,Ross Eadie,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",6.03
4,Daniel McIntyre,Harvey Smith,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",2.39
10,St. Norbert,Justin Swandel,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",11.28
5,St. James - Brooklands,Scott Fielding,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",0.82
8,River Heights - Fort Garry,John Orlikow,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",0.13
11,St. Vital,Brian Mayes,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",2.65
12,St. Boniface,Daniel Vandal,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",10.76
15,North Kildonan,Jeff Browaty,01/01/2014,City of Winnipeg - Journal Entry,,Cof-Gl-I-109-Ixr-Xerox,"Printing,Binding,Photocopying",0.19
7,Charleswood - Tuxedo,Paula Havixbeck,01/01/2014,City of Winnipeg - Journal Entry,,Record Globe & Mail Expense In 2014 (Mastercard -12/2013 - Havixbeck),Periodicals and Subscriptions,14.45
1,Old Kildonan,Devi Sharma,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-96.72
2,Mynarski,Ross Eadie,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-180.50
3,Point Douglas,Mike Pagtakhan,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-179.92
4,Daniel McIntyre,Harvey Smith,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-207.34
5,St. James - Brooklands,Scott Fielding,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-160.06
6,St. Charles,Grant Nordman,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-164.00
8,River Heights - Fort Garry,John Orlikow,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-192.96
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-156.00
10,St. Norbert,Justin Swandel,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-150.00
11,St. Vital,Brian Mayes,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-176.00
12,St. Boniface,Daniel Vandal,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-145.86
13,Transcona,Russ Wyatt,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-134.68
14,Elmwood - East Kildonan,Thomas Steen,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-180.52
15,North Kildonan,Jeff Browaty,01/01/2014,City of Winnipeg - Journal Entry,,Reverse 2012 Payroll Accrual Je 263433 (To Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-142.30
1,Old Kildonan,Devi Sharma,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-457.60
2,Mynarski,Ross Eadie,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-338.00
3,Point Douglas,Mike Pagtakhan,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-359.84
4,Daniel McIntyre,Harvey Smith,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-422.94
5,St. James - Brooklands,Scott Fielding,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-766.05
6,St. Charles,Grant Nordman,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-386.90
8,River Heights - Fort Garry,John Orlikow,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-886.96
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-1062.00
10,St. Norbert,Justin Swandel,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-353.60
11,St. Vital,Brian Mayes,01/01/2014,City of Winnipeg - Journal Entry,,Reverse Payroll Accrual Je 292451 (Record Accrued Salaries For Council Executive Assistants),Non-Professional Services,-469.62
